Title,Property_Size,Bedrooms,Bathrooms,Furnishing,Region,Region_Name,Region_Parent_Name,Is_Boost,Price
"2bdrm Apartment in Gated And Secured, Ajah for sale",100,2,2,Unfurnished,"Lagos State, Ajah",Ajah,Lagos State,Diamond,60000000.0
"Furnished 18bdrm Apartment in Orogun, Ibadan for sale",900,18,18,Furnished,"Oyo State, Ibadan",Ibadan,Oyo State,Vip Gold,180000000.0
2bdrm Duplex in Kubwa for sale,700,2,3,Unfurnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),Diamond,70000000.0
"4bdrm Duplex in Abiola'S Court, Osapa london for sale",150,4,4,Unfurnished,"Lekki, Osapa london",Osapa london,Lagos State,Diamond,170000000.0
"2bdrm Block of Flats in Airport Road,Benin for sale",500,2,2,Unfurnished,"Edo State, Benin City",Benin City,Edo State,Diamond,85000000.0
2bdrm Block of Flats in Jahi for sale,500,2,3,Unfurnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),Diamond,100000000.0
5bdrm Duplex in Katampe (Main) for sale,800,5,6,Unfurnished,"Katampe, Katampe (Main)",Katampe (Main),Abuja (FCT),Diamond,450000000.0
"Furnished 2bdrm Bungalow in Orogun Estate, Ojoo for sale",1200,2,3,Furnished,"Ibadan, Ojoo",Ojoo,Oyo State,Vip Gold,140000000.0
"3bdrm Block of Flats in Gated And Secured, Ajah for sale",700,3,3,Unfurnished,"Lagos State, Ajah",Ajah,Lagos State,Diamond,150000000.0
"5bdrm Duplex in Omile Phate 2, Omole Phase 1 for sale",300,5,5,Unfurnished,"Ikeja, Omole Phase 1",Omole Phase 1,Lagos State,False,50000000.0
"20bdrm Block of Flats in Felele, Behind Uba, Ibadan for sale",945,20,10,Semi-Furnished,"Oyo State, Ibadan",Ibadan,Oyo State,Vip Gold,85000000.0
20bdrm Block of Flats in Ibadan for sale,1600,20,16,Semi-Furnished,"Oyo State, Ibadan",Ibadan,Oyo State,Vip Gold,250000000.0
"5bdrm Bungalow in Bodija, Ibadan for sale",500,5,5,Semi-Furnished,"Oyo State, Ibadan",Ibadan,Oyo State,Vip Gold,28000000.0
"5bdrm Duplex in Trans Engineering, Dawaki for sale",500,5,5,Unfurnished,"Gwarinpa, Dawaki",Dawaki,Abuja (FCT),False,270000000.0
"20bdrm Block of Flats in Bodija, Ibadan for sale",1350,20,20,Unfurnished,"Oyo State, Ibadan",Ibadan,Oyo State,Vip Gold,200000000.0
"Furnished 5bdrm Duplex in New London, Egbeda for sale",1220,5,5,Furnished,"Alimosho, Egbeda",Egbeda,Lagos State,False,400000000.0
"4bdrm Duplex in Jericho Gra, Ibadan for sale",450,4,4,Semi-Furnished,"Oyo State, Ibadan",Ibadan,Oyo State,Premium,164000000.0
"3bdrm Bungalow in Green And View, Akala Express for sale",300,3,3,Semi-Furnished,"Ibadan, Akala Express",Akala Express,Oyo State,Premium,40000000.0
"4bdrm Bungalow in Pillar Estate, Akala Express for sale",500,4,4,Unfurnished,"Ibadan, Akala Express",Akala Express,Oyo State,Premium,45000000.0
"2bdrm Duplex in Pantheon Bridge, Lafiaji for sale",200,2,2,Semi-Furnished,"Lekki, Lafiaji",Lafiaji,Lagos State,Premium,125000000.0
"4bdrm Duplex in Pantheon Bridge, Lafiaji for sale",250,4,4,Semi-Furnished,"Lekki, Lafiaji",Lafiaji,Lagos State,Premium,150000000.0
"3bdrm Bungalow in Tobi Rental Junction, Eleyele for sale",300,3,3,Semi-Furnished,"Ibadan, Eleyele",Eleyele,Oyo State,Premium,68000000.0
"5bdrm Duplex in Ikolaba, Ibadan North West for sale",450,5,5,Semi-Furnished,"Ibadan, Ibadan North West",Ibadan North West,Oyo State,Premium,350000000.0
12bdrm Block of Flats in Rind Road for sale,839,12,6,Semi-Furnished,"Ibadan, Rind Road",Rind Road,Oyo State,Enterprise,120000000.0
4bdrm Duplex in Aiben Estate Karmo for sale,400,4,4,Unfurnished,"Abuja (FCT), Karmo",Karmo,Abuja (FCT),Enterprise,250000000.0
5bdrm Duplex in Lekki for sale,400,5,5,Semi-Furnished,"Lagos State, Lekki",Lekki,Lagos State,Enterprise,500000000.0
Furnished 2bdrm Apartment in Oregun for sale,1000,2,1,Furnished,"Ikeja, Oregun",Oregun,Lagos State,Enterprise,200000000.0
4bdrm Townhouse/Terrace in Kaura for sale,230,4,4,Unfurnished,"Abuja (FCT), Kaura",Kaura,Abuja (FCT),Enterprise,200000000.0
2bdrm Apartment in Gilmore Jahi for sale,200,2,2,Unfurnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),Enterprise,150000000.0
"4bdrm Duplex in Admiralty, Lekki Phase 1 for sale",400,4,5,Semi-Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,Enterprise,550000000.0
"4bdrm Duplex in Aguma Estate Off, GRA Phase 3 / Port-Harcourt for sale",986,4,4,Semi-Furnished,"Port-Harcourt, GRA Phase 3 / Port-Harcourt",GRA Phase 3 / Port-Harcourt,Port-Harcourt,Enterprise,500000000.0
5bdrm Duplex in Chevron for sale,1000,5,1,Unfurnished,"Lekki, Chevron",Chevron,Lagos State,Enterprise,900000000.0
4bdrm Duplex in Omole Phase 2 for sale,1000,4,1,Unfurnished,"Ikeja, Omole Phase 2",Omole Phase 2,Lagos State,Enterprise,550000000.0
5bdrm Duplex in GRA Phase 1 for sale,1000,5,1,Unfurnished,"Magodo, GRA Phase 1",GRA Phase 1,Lagos State,Enterprise,630000000.0
5bdrm Duplex in Vgc for sale,400,5,6,Semi-Furnished,"Ajah, VGC / Ajah",VGC / Ajah,Lagos State,Enterprise,400000000.0
3bdrm Block of Flats in Rumuadolu Gra for sale,500,3,3,Semi-Furnished,"Port-Harcourt, GRA Phase 1 / Port-Harcourt",GRA Phase 1 / Port-Harcourt,Port-Harcourt,Enterprise,250000000.0
4bdrm Duplex in Olokonla for sale,300,4,4,Semi-Furnished,"Ajah, Olokonla",Olokonla,Lagos State,Enterprise,180000000.0
"4bdrm Duplex in Lekki Pearl Gardens, Sangotedo for sale",320,4,4,Semi-Furnished,"Ajah, Sangotedo",Sangotedo,Lagos State,Enterprise,150000000.0
5bdrm Duplex in Adeniyi Jones for sale,1000,5,1,Unfurnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos State,Enterprise,700000000.0
4bdrm Duplex in GRA Phase 1 for sale,1000,4,1,Unfurnished,"Magodo, GRA Phase 1",GRA Phase 1,Lagos State,Enterprise,350000000.0
4bdrm Duplex in Medina for sale,1000,4,1,Unfurnished,"Gbagada, Medina",Medina,Lagos State,Enterprise,270000000.0
5bdrm Duplex in Osapa london for sale,1000,5,1,Unfurnished,"Lekki, Osapa london",Osapa london,Lagos State,Enterprise,990000000.0
"5bdrm Duplex in Vgc, Ikota for sale",350,5,6,Semi-Furnished,"Lekki, Ikota",Ikota,Lagos State,Enterprise,350000000.0
4bdrm Duplex in Ikeja for sale,300,4,4,Semi-Furnished,"Lagos State, Ikeja",Ikeja,Lagos State,Enterprise,750000000.0
"3bdrm Bungalow in Igbagbo Estate, for sale",500,3,4,Unfurnished,"Ibadan, Akobo",Akobo,Oyo State,Enterprise,62000000.0
5bdrm House in Chevron for sale,1000,5,1,Unfurnished,"Lekki, Chevron",Chevron,Lagos State,Enterprise,450000000.0
"Furnished 4bdrm Duplex in Ps Court, Ibadan for sale",1200,4,4,Furnished,"Oyo State, Ibadan",Ibadan,Oyo State,Enterprise,280000000.0
4bdrm Townhouse/Terrace in Dawaki Hills for sale,280,4,4,Unfurnished,"Gwarinpa, Dawaki",Dawaki,Abuja (FCT),Enterprise,270000000.0
"4bdrm Duplex in Von Axis, Lugbe for sale",450,4,5,Unfurnished,"Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),Enterprise,200000000.0
2bdrm Block of Flats in Karsana for sale,150,2,2,Unfurnished,"Gwagwa, Karsana",Karsana,Abuja (FCT),Enterprise,45000000.0
"4bdrm Duplex in Josh Luxury Court, Guzape District for sale",400,4,4,Unfurnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),Enterprise,350000000.0
"4bdrm Duplex in Sars Rd, Rumuahalu for sale",465,4,4,Unfurnished,"Port-Harcourt, Rumuahalu",Rumuahalu,Port-Harcourt,Enterprise,120000000.0
4bdrm Duplex in Omole Phase 1 for sale,1000,4,1,Unfurnished,"Ikeja, Omole Phase 1",Omole Phase 1,Lagos State,Enterprise,550000000.0
4bdrm Duplex in GRA Phase 1 for sale,1000,4,1,Unfurnished,"Magodo, GRA Phase 1",GRA Phase 1,Lagos State,Enterprise,365000000.0
4bdrm Duplex in Oko-Oba for sale,1000,4,1,Unfurnished,"Agege, Oko-Oba",Oko-Oba,Lagos State,Enterprise,350000000.0
"4bdrm Duplex in Rukpakulusi Estate, Eliozu for sale",450,4,4,Semi-Furnished,"Port-Harcourt, Eliozu",Eliozu,Port-Harcourt,Enterprise,300000000.0
4bdrm Duplex in Lekki for sale,450,4,4,Semi-Furnished,"Lagos State, Lekki",Lekki,Lagos State,Enterprise,140000000.0
4bdrm Duplex in GRA Phase 2 Shangisha for sale,1000,4,1,Unfurnished,"Magodo, GRA Phase 2 Shangisha",GRA Phase 2 Shangisha,Lagos State,Enterprise,550000000.0
"4bdrm Duplex in Kabusa Gardens, Dakwo District for sale",300,4,5,Unfurnished,"Abuja (FCT), Dakwo District",Dakwo District,Abuja (FCT),Enterprise,135000000.0
"Furnished 6bdrm Duplex in Thinkers Corner, Enugu for sale",600,6,7,Furnished,"Enugu State, Enugu",Enugu,Enugu State,Enterprise,240000000.0
"Furnished 5bdrm Apartment in Functional School, Garki 1 for sale",1000,5,4,Furnished,"Abuja (FCT), Garki 1",Garki 1,Abuja (FCT),Enterprise,650000000.0
5bdrm Duplex in VGC / Ajah for sale,1000,5,1,Unfurnished,"Ajah, VGC / Ajah",VGC / Ajah,Lagos State,Enterprise,500000000.0
"4bdrm Townhouse/Terrace in Durunmi, Durumi for sale",200,4,4,Unfurnished,"Abuja (FCT), Durumi",Durumi,Abuja (FCT),Enterprise,280000000.0
5bdrm Duplex in Lekki for sale,500,5,5,Semi-Furnished,"Lagos State, Lekki",Lekki,Lagos State,Enterprise,990000000.0
4bdrm Duplex in Abraham Adesanya Estate for sale,300,4,4,Semi-Furnished,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Lagos State,Enterprise,190000000.0
4bdrm Duplex in Guzape By Fha Abuja for sale,400,4,5,Semi-Furnished,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),Enterprise,550000000.0
Furnished 5bdrm Duplex in GRA Phase 1 for sale,1000,5,1,Furnished,"Magodo, GRA Phase 1",GRA Phase 1,Lagos State,Enterprise,600000000.0
4bdrm Duplex in Life Camp for sale,250,4,4,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),Enterprise,380000000.0
2bdrm Apartment in Gudu for sale,180,2,2,Unfurnished,"Abuja (FCT), Gudu",Gudu,Abuja (FCT),Enterprise,90000000.0
4bdrm Duplex in Chevron for sale,300,4,4,Semi-Furnished,"Lekki, Chevron",Chevron,Lagos State,Enterprise,190000000.0
Furnished 4bdrm Duplex in Akobo for sale,400,4,4,Furnished,"Ibadan, Akobo",Akobo,Oyo State,Enterprise,290000000.0
5bdrm Duplex in GRA Phase 1 for sale,1000,5,1,Unfurnished,"Magodo, GRA Phase 1",GRA Phase 1,Lagos State,Enterprise,480000000.0
4bdrm Duplex in Abraham Adesanya Estate for sale,1000,4,1,Unfurnished,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Lagos State,Enterprise,200000000.0
8bdrm Duplex in Karsana for sale,500,8,8,Semi-Furnished,"Gwagwa, Karsana",Karsana,Abuja (FCT),Enterprise,216000000.0
5bdrm Duplex in Thomas Estate for sale,1000,5,1,Unfurnished,"Ajah, Thomas Estate",Thomas Estate,Lagos State,Enterprise,230000000.0
4bdrm Townhouse/Terrace in Lifecamp for sale,250,4,4,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),Enterprise,270000000.0
5bdrm Duplex in Jahi Gilmor By Navy for sale,450,5,6,Unfurnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),Enterprise,600000000.0
"7bdrm Duplex in Efab Metropolis, Karsana for sale",850,7,8,Semi-Furnished,"Gwagwa, Karsana",Karsana,Abuja (FCT),Enterprise,520000000.0
3bdrm House in Berger for sale,1000,3,1,Unfurnished,"Ojodu, Berger",Berger,Lagos State,Enterprise,250000000.0
3bdrm Block of Flats in Jahi for sale,150,3,3,Semi-Furnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),Enterprise,250000000.0
3bdrm Apartment in Victoria Island for sale,220,3,3,Unfurnished,"Lagos State, Victoria Island",Victoria Island,Lagos State,Enterprise,250000000.0
Furnished 18bdrm Apartment in Agodi for sale,700,18,18,Furnished,"Ibadan, Agodi",Agodi,Oyo State,Enterprise,80000000.0
4bdrm Duplex in GRA Phase 1 for sale,1000,4,1,Unfurnished,"Magodo, GRA Phase 1",GRA Phase 1,Lagos State,Enterprise,450000000.0
4bdrm Duplex in Abraham Adesanya Estate for sale,1000,4,1,Unfurnished,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Lagos State,Enterprise,170000000.0
4bdrm Duplex in Adeniyi Jones for sale,1000,4,1,Unfurnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos State,Enterprise,500000000.0
"4bdrm Duplex in King Palace Estate, Lugbe District for sale",650,4,5,Unfurnished,"Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),Enterprise,300000000.0
2bdrm Block of Flats in Naze Owerri for sale,989,2,2,Semi-Furnished,"Imo State, Owerri",Owerri,Imo State,Enterprise,220000000.0
"6bdrm Bungalow in Emmanuel Estate, Idishin for sale",500,6,6,Unfurnished,"Ibadan, Idishin",Idishin,Oyo State,Enterprise,55000000.0
5bdrm Duplex in Ikate for sale,1000,5,1,Unfurnished,"Lekki, Ikate",Ikate,Lagos State,Enterprise,420000000.0
4bdrm Duplex in Wuye Main Zl for sale,500,4,6,Unfurnished,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),Diamond,400000000.0
4bdrm Townhouse/Terrace in Lifecamp for sale,250,4,4,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),Enterprise,275000000.0
"Furnished 4bdrm Duplex in Mount Berachal Homes, Lugbe District for sale",600,4,5,Furnished,"Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),Enterprise,300000000.0
"Furnished 4bdrm Duplex in Durrosimi Etti, Lekki Phase 1 for sale",1000,4,4,Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,Enterprise,700000000.0
4bdrm Duplex in Lekki for sale,400,4,4,Semi-Furnished,"Lagos State, Lekki",Lekki,Lagos State,Enterprise,190000000.0
5bdrm Duplex in GRA Phase 2 Shangisha for sale,1000,5,1,Unfurnished,"Magodo, GRA Phase 2 Shangisha",GRA Phase 2 Shangisha,Lagos State,Enterprise,600000000.0
4bdrm Duplex in Berger for sale,1000,4,1,Unfurnished,"Ojodu, Berger",Berger,Lagos State,Enterprise,130000000.0
3bdrm Apartment in Lifecamp for sale,200,3,3,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),Enterprise,150000000.0
Furnished 3bdrm Apartment in Apata for sale,600,3,3,Furnished,"Ibadan, Apata",Apata,Oyo State,False,65000000.0
5bdrm Duplex in Lekki for sale,400,5,5,Semi-Furnished,"Lagos State, Lekki",Lekki,Lagos State,Enterprise,450000000.0
2bdrm Apartment in Ilaje for sale,280,2,2,Semi-Furnished,"Ondo State, Ilaje",Ilaje,Ondo State,Enterprise,90000000.0
5bdrm Duplex in Osapa london for sale,450,5,5,Semi-Furnished,"Lekki, Osapa london",Osapa london,Lagos State,Enterprise,950000000.0
"5bdrm Duplex in Okebadan Estate, for sale",450,5,6,Unfurnished,"Ibadan, Akobo",Akobo,Oyo State,Enterprise,180000000.0
4bdrm Duplex in Fagba for sale,1000,4,1,Unfurnished,"Agege, Fagba",Fagba,Lagos State,Enterprise,230000000.0
4bdrm House in GRA Phase 1 for sale,1000,4,1,Unfurnished,"Magodo, GRA Phase 1",GRA Phase 1,Lagos State,Enterprise,450000000.0
3bdrm Apartment in Garki for sale,250,3,3,Unfurnished,"Abuja (FCT), Garki 2",Garki 2,Abuja (FCT),Enterprise,190000000.0
2bdrm Apartment in Adesanya Ajah for sale,114,2,2,Unfurnished,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Lagos State,Enterprise,120000000.0
"5bdrm Apartment in Ajah, Olokonla for sale",400,5,6,Semi-Furnished,"Ajah, Olokonla",Olokonla,Lagos State,Enterprise,220000000.0
2bdrm Maisonette in Lekki Phase 1 for sale,450,2,2,Semi-Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,Enterprise,430000000.0
Furnished 4bdrm Duplex in Lekki Phase 1 for sale,500,4,4,Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,Enterprise,850000000.0
5bdrm Duplex in Ikate for sale,1000,5,1,Unfurnished,"Lekki, Ikate",Ikate,Lagos State,Enterprise,850000000.0
4bdrm House in GRA Phase 1 for sale,1000,4,1,Unfurnished,"Magodo, GRA Phase 1",GRA Phase 1,Lagos State,Enterprise,365000000.0
"Furnished 5bdrm Duplex in Old Gra, Enugu for sale",600,5,6,Furnished,"Enugu State, Enugu",Enugu,Enugu State,Enterprise,340000000.0
"4bdrm Duplex in Naf Valley Estate, Asokoro for sale",750,4,5,Unfurnished,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),Enterprise,850000000.0
4bdrm Duplex in Chevron for sale,300,4,4,Semi-Furnished,"Lekki, Chevron",Chevron,Lagos State,Enterprise,250000000.0
5bdrm Duplex in GRA Phase 1 for sale,1000,5,1,Unfurnished,"Magodo, GRA Phase 1",GRA Phase 1,Lagos State,Enterprise,650000000.0
"6bdrm Duplex in Manor Estate, Gaduwa for sale",550,6,7,Unfurnished,"Abuja (FCT), Gaduwa",Gaduwa,Abuja (FCT),Enterprise,600000000.0
4bdrm Duplex in Mende for sale,1000,4,1,Unfurnished,"Maryland, Mende",Mende,Lagos State,Enterprise,290000000.0
4bdrm Duplex in Ikeja GRA for sale,1000,4,1,Unfurnished,"Ikeja, Ikeja GRA",Ikeja GRA,Lagos State,Enterprise,850000000.0
4bdrm Duplex in Adeniyi Jones for sale,1000,4,1,Unfurnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos State,Enterprise,680000000.0
"4bdrm Duplex in Grandville Estate, Lugbe District for sale",500,4,5,Unfurnished,"Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),Enterprise,350000000.0
4bdrm Duplex in Adeniyi Jones for sale,1000,4,1,Unfurnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos State,Enterprise,450000000.0
"4bdrm Duplex in Kola Lawal Estate, Ibadan for sale",450,4,4,Unfurnished,"Oyo State, Ibadan",Ibadan,Oyo State,Enterprise,230000000.0
3bdrm Block of Flats in Katampe for sale,250,3,3,Unfurnished,"Katampe, Katampe (Main)",Katampe (Main),Abuja (FCT),Enterprise,220000000.0
6bdrm Duplex in Jabi Main for sale,400,6,7,Unfurnished,"Abuja (FCT), Jabi",Jabi,Abuja (FCT),Enterprise,510000000.0
4bdrm House in Opebi for sale,1000,4,1,Unfurnished,"Ikeja, Opebi",Opebi,Lagos State,Enterprise,500000000.0
5bdrm Duplex in Adeniyi Jones for sale,1000,5,1,Unfurnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos State,Enterprise,350000000.0
5bdrm Duplex in Ikota for sale,450,5,5,Semi-Furnished,"Lekki, Ikota",Ikota,Lagos State,Enterprise,330000000.0
5bdrm Duplex in Chevron for sale,1000,5,1,Unfurnished,"Lekki, Chevron",Chevron,Lagos State,Enterprise,800000000.0
"6bdrm Duplex in Kukwuaba, Wuye for sale",1500,6,6,Unfurnished,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),Enterprise,1000000000.0
4bdrm Duplex in Osapa london for sale,300,4,4,Semi-Furnished,"Lekki, Osapa london",Osapa london,Lagos State,Enterprise,350000000.0
4bdrm Duplex in Ikota for sale,300,4,4,Semi-Furnished,"Lekki, Ikota",Ikota,Lagos State,Enterprise,250000000.0
4bdrm Duplex in Opebi for sale,1000,4,1,Unfurnished,"Ikeja, Opebi",Opebi,Lagos State,Enterprise,350000000.0
4bdrm Duplex in Opebi for sale,1000,4,1,Unfurnished,"Ikeja, Opebi",Opebi,Lagos State,Enterprise,480000000.0
3bdrm Block of Flats in Karsana for sale,150,3,2,Semi-Furnished,"Gwagwa, Karsana",Karsana,Abuja (FCT),Enterprise,60000000.0
5bdrm Duplex in Kubwa for sale,500,5,5,Semi-Furnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),Enterprise,250000000.0
"3bdrm Block of Flats in Sangotedo, VGC / Ajah for sale",222,3,4,Unfurnished,"Ajah, VGC / Ajah",VGC / Ajah,Lagos State,Enterprise,50000000.0
"2bdrm Block of Flats in Elimgbu Off Tank, Elimbu for sale",465,2,2,Semi-Furnished,"Port-Harcourt, Elimbu",Elimbu,Port-Harcourt,Enterprise,85000000.0
2bdrm Block of Flats in Garki for sale,1016,2,2,Unfurnished,"Jigawa State, Garki",Garki,Jigawa State,Enterprise,870000000.0
5bdrm Duplex in Ado / Ajah for sale,333,5,5,Semi-Furnished,"Ajah, Ado / Ajah",Ado / Ajah,Lagos State,Enterprise,310000000.0
4bdrm Duplex in Adeniyi Jones for sale,1000,4,1,Unfurnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos State,Enterprise,480000000.0
6bdrm Duplex in Berger for sale,702,6,1,Unfurnished,"Ojodu, Berger",Berger,Lagos State,Enterprise,380000000.0
4bdrm Penthouse in Ikota for sale,300,4,4,Semi-Furnished,"Lekki, Ikota",Ikota,Lagos State,Enterprise,155000000.0
5bdrm Duplex in Lekki for sale,450,5,5,Semi-Furnished,"Lagos State, Lekki",Lekki,Lagos State,Enterprise,1000000000.0
4bdrm Duplex in Olokonla for sale,320,4,4,Semi-Furnished,"Ajah, Olokonla",Olokonla,Lagos State,Enterprise,165000000.0
4bdrm Duplex in Dakwo for sale,700,4,4,Unfurnished,"Abuja (FCT), Dakwo District",Dakwo District,Abuja (FCT),Enterprise,550000000.0
"3bdrm Penthouse in Greenland, Lekki Phase 1 for sale",250,3,4,Semi-Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,Enterprise,400000000.0
4bdrm Duplex in Abraham Adesanya Estate for sale,1000,4,1,Unfurnished,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Lagos State,Enterprise,165000000.0
Furnished 5bdrm Mansion in Idu By Nizamiya Axis for sale,750,5,6,Furnished,"Abuja (FCT), Idu Industrial",Idu Industrial,Abuja (FCT),Enterprise,630000000.0
"5bdrm Duplex in Orchid Road, Lekki Phase 1 for sale",400,5,6,Semi-Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,Enterprise,370000000.0
4bdrm Duplex in Lekki for sale,270,4,4,Semi-Furnished,"Lagos State, Lekki",Lekki,Lagos State,Enterprise,450000000.0
5bdrm Duplex in Ologolo for sale,450,5,5,Semi-Furnished,"Lekki, Ologolo",Ologolo,Lagos State,Enterprise,390000000.0
5bdrm House in Osapa london for sale,1000,5,1,Unfurnished,"Lekki, Osapa london",Osapa london,Lagos State,Enterprise,990000000.0
2bdrm Apartment in Jahi for sale,200,2,2,Unfurnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),Enterprise,190000000.0
"4bdrm Duplex in God’S Own, Lugbe District for sale",450,4,6,Unfurnished,"Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),Enterprise,150000000.0
5bdrm Duplex in Chevron for sale,300,5,5,Semi-Furnished,"Lekki, Chevron",Chevron,Lagos State,Enterprise,480000000.0
5bdrm Duplex in Osapa london for sale,500,5,5,Semi-Furnished,"Lekki, Osapa london",Osapa london,Lagos State,Enterprise,990000000.0
5bdrm Duplex in Chevron for sale,500,5,5,Semi-Furnished,"Lekki, Chevron",Chevron,Lagos State,Enterprise,850000000.0
5bdrm Duplex in Shell Co Operative for sale,560,5,5,Semi-Furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Enterprise,300000000.0
2bdrm Apartment in Osapa london for sale,300,2,2,Semi-Furnished,"Lekki, Osapa london",Osapa london,Lagos State,Enterprise,180000000.0
Furnished 3bdrm Bungalow in Ologuneru for sale,450,3,3,Furnished,"Ibadan, Ologuneru",Ologuneru,Oyo State,Enterprise,70000000.0
Furnished 5bdrm Duplex in VGC / Ajah for sale,1000,5,1,Furnished,"Ajah, VGC / Ajah",VGC / Ajah,Lagos State,Enterprise,550000000.0
5bdrm Duplex in Omole Phase 2 for sale,1000,5,1,Unfurnished,"Ikeja, Omole Phase 2",Omole Phase 2,Lagos State,Enterprise,700000000.0
Furnished 6bdrm Duplex in Jahi Gilmor for sale,450,6,7,Furnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),Enterprise,650000000.0
"4bdrm Duplex in Shell Co Operative, Port-Harcourt for sale",300,4,4,Semi-Furnished,"Rivers State, Port-Harcourt",Port-Harcourt,Rivers State,Enterprise,260000000.0
3bdrm Apartment in Jahi for sale,230,3,3,Unfurnished,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),Enterprise,230000000.0
4bdrm Townhouse/Terrace in Kaura for sale,280,4,4,Unfurnished,"Abuja (FCT), Kaura",Kaura,Abuja (FCT),Enterprise,320000000.0
5bdrm Townhouse/Terrace in Wuse for sale,350,5,6,Unfurnished,"Abuja (FCT), Wuse 2",Wuse 2,Abuja (FCT),Enterprise,750000000.0
Furnished 3bdrm Penthouse in Lekki for sale,250,3,4,Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,Enterprise,500000000.0
"Furnished 3bdrm Penthouse in Furo Ezimora, Lekki Phase 1 for sale",250,3,4,Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,Enterprise,400000000.0
4bdrm Duplex in Lekki for sale,450,4,4,Semi-Furnished,"Lagos State, Lekki",Lekki,Lagos State,Enterprise,600000000.0
5bdrm Duplex in Adeniyi Jones for sale,1000,5,1,Unfurnished,"Ikeja, Adeniyi Jones",Adeniyi Jones,Lagos State,Enterprise,500000000.0
3bdrm House in Ibadan for sale,1200,3,3,Unfurnished,"Oyo State, Ibadan",Ibadan,Oyo State,Enterprise,100000000.0
2bdrm Block of Flats in Katampe for sale,190,2,2,Unfurnished,"Katampe, Katampe (Main)",Katampe (Main),Abuja (FCT),Enterprise,150000000.0
3bdrm Bungalow in Life Camp for sale,650,3,3,Unfurnished,"Gwarinpa, Life Camp",Life Camp,Abuja (FCT),Enterprise,45000000.0
3bdrm Bungalow in Kubwa for sale,500,3,3,Semi-Furnished,"Abuja (FCT), Kubwa",Kubwa,Abuja (FCT),Enterprise,85000000.0
"4bdrm Duplex in Sars Rd Rukpokwu, Rumuahalu for sale",560,4,4,Semi-Furnished,"Port-Harcourt, Rumuahalu",Rumuahalu,Port-Harcourt,Enterprise,280000000.0
5bdrm Duplex in Omole Phase 1 for sale,1000,5,1,Unfurnished,"Ikeja, Omole Phase 1",Omole Phase 1,Lagos State,Enterprise,620000000.0
5bdrm Duplex in Ikate for sale,1000,5,1,Unfurnished,"Lekki, Ikate",Ikate,Lagos State,Enterprise,990000000.0
1bdrm Block of Flats in Katampe for sale,90,1,1,Unfurnished,"Katampe, Katampe (Main)",Katampe (Main),Abuja (FCT),Enterprise,110000000.0
